4,Acer
5,Samsung
6,Acer
7,Intel
8,HP
9,ASUS
10,Intel
11,HP
12,Samsung
13,Intel
14,ASUS
15,HP
16,Acer
17,Samsung
18,HP
19,Acer
20,ASUS
21,HP
22,Samsung
23,ASUS
24,ASUS
25,Samsung
26,Samsung
27,Samsung
28,ASUS
29,HP
30,Samsung
31,Samsung
32,ASUS
33,ASUS
34,Samsung
35,Samsung
36,Samsung
37,Acer
38,Acer
39,Samsung
40,Samsung
41,Intel
42,Intel
43,ASUS
44,Intel
45,HP
46,Acer
47,ASUS
48,HP
49,ASUS
50,HP
51,HP
52,Samsung
53,HP
54,Intel
55,ASUS
56,Acer
57,HP
58,HP
59,Intel
60,Acer
61,Samsung
62,Samsung
63,Intel
64,HP
65,Acer
66,Acer
67,Samsung
68,HP
69,ASUS
70,HP
71,Intel
72,Samsung
73,Samsung
74,Samsung
75,Intel
76,Acer
77,ASUS
78,Intel
79,ASUS
80,HP
81,Intel
82,ASUS
83,Acer
84,Intel
85,Acer
86,ASUS
87,HP
88,Intel
89,Samsung
90,Acer
91,Samsung
92,ASUS
93,Acer
94,ASUS
95,ASUS
96,Acer
97,Samsung
98,Acer
99,Intel
100,Samsung
101,Intel
102,ASUS
103,Intel
104,Intel
105,ASUS
106,HP
107,Intel
108,Acer
109,Samsung
110,Acer
111,HP
112,Samsung
113,ASUS
114,HP
115,HP
116,Acer
117,ASUS
118,HP
119,Samsung
120,Intel
121,Intel
122,ASUS
123,Acer
124,Acer
125,ASUS
126,Samsung
127,Samsung
128,Samsung
129,Samsung
130,Acer
131,ASUS
132,HP
133,ASUS
134,HP
135,HP
136,ASUS
137,Acer
138,Intel
139,Acer
140,Samsung
141,Intel
142,HP
143,HP
144,Samsung
145,HP
146,HP
147,Samsung
148,ASUS
149,Acer
150,Samsung
151,Samsung
152,Samsung
153,HP
154,Samsung
155,ASUS
156,Acer
157,ASUS
158,Intel
159,HP
160,Intel
161,Intel
162,Acer
163,HP
164,Intel
165,Samsung
166,Acer
167,Intel
168,ASUS
169,HP
170,ASUS
171,Acer
172,ASUS
173,HP
